Treatment	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella
X.SampleID	11-(-2)-S-F-AK	11-(10)-S-F-GE	12-(-2)-S-F-AL	12-(10)-S-F-GF	13-(-1)-S-F-CK	13-(-2)-S-F-AM	13-(0)-S-F-EI	13-(10)-S-F-GG	13-(11)-S-F-KE	13-(12)-S-F-MC	15-(-1)-S-F-CM	15-(-2)-S-F-AO	15-(0)-S-F-EK	15-(10)-S-F-GI	15-(11)-S-F-KG	15-(12)-S-F-ME	16-(-1)-S-F-CN	16-(-2)-S-F-AP	16-(0)-S-F-EL	16-(10)-S-F-GJ	16-(11)-S-F-KH	16-(12)-S-F-MF	17-(-2)-S-F-AQ	17-(10)-S-F-GK	18-(-2)-S-F-AR	18-(10)-S-F-GL	20-(-1)-S-F-CR	20-(-2)-S-F-AT	20-(0)-S-F-EP	20-(10)-S-F-GN	20-(11)-S-F-KL	20-(12)-S-F-MJ	21-(10)-S-F-GO	22-(-2)-S-F-AV	22-(10)-S-F-GP	27-(-1)-S-F-CY	27-(-2)-S-F-BA	27-(0)-S-F-EW	27-(10)-S-F-GU	27-(11)-S-F-KS	5-(10)-S-F-FY
 CAG-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000161686715819428	0	0
 Campylobacter	0	0	0	0	0	0	0	0.000253284787082476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Candidatus_Arthromitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Candidatus_Omnitrophus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Candidatus_Uhrbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Candidatus_Yanofskybacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Christensenellaceae_R-7_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Clostridia_UCG-014	0.0140163098878695	0	0.0192083695122726	0	0.00908537645626848	0.00806675237591066	0.000300153828837279	0	0	0	0	0.00490126293953753	0	0	0	0	0.00067254520998356	0.00609841441225281	0.00238103222777424	0	0	0	0.0113009061556088	0	0.0151430173864274	0	0.0128047628047628	0.0289432691824531	0.00579501915708812	0	0	0	0	0.0466988727858293	0	0.0245465802316265	0.00573161641863932	0.0135948166146014	0	0	0
 Clostridia_vadinBB60_group	0.136276758409786	0	0.024481670513988	0.000266880170803309	0.0141279777430012	0.0184274874587209	0.0378944208907065	0	0	0	0.0660377358490566	0.0333123182363588	0.0467028161623229	0	0	0	0.0740920639665222	0.0846979785255833	0.126898957040813	0.000952489808359051	0	0	0.0349703155921258	0	0.0207515423443634	0.000181669543101099	0.0336420336420336	0.0407014722878247	0.039367816091954	0.0250677248273494	0	0	0	0.0665593129361245	0	0.0271687668439071	0.0738170509162876	0.103956959389101	9.7012029491657e-05	0.00670928539780999	0
 Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Colidextribacter	0.00732670744138634	0	0.0131726635464538	0.00804453086278547	0.0117370892018779	0.00857092439940508	0.0112932878100026	0	0	0	0.00798544049918289	0.017306949218035	0.00214273220220395	0	0	0	0.00963981467643103	0.0076580089176814	0.0130118380898085	0	0	0	0.00661389438600146	0	0.00448681996634885	0.00644926878008902	0.00852863352863353	0.00718556856439375	0.00742337164750958	0.00057232248464268	0	0	0	0.0322061191626409	0	0.00897734722121058	0.010332330943018	0.0172683096147171	0.00187556590350537	0.00870308247357428	0
 Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000161686715819428	0	0
 Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Corynebacterium	0	0	0	0	0	0	0	0.000189963590311857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Curtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77467228734769e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
