Compound	MC_POS_1_Salmonella	MC_POS_2_Salmonella	MC_POS_3_Salmonella	ME_POS_1_Salmonella	ME_POS_2_Salmonella	ME_POS_3_Salmonella	MF_POS_1_Salmonella	MF_POS_2_Salmonella	MF_POS_3_Salmonella	MJ_POS_1_Salmonella	MJ_POS_2_Salmonella	MJ_POS_3_Salmonella	MQ_POS_1_Salmonella	MQ_POS_2_Salmonella	MQ_POS_3_Salmonella	MR_POS_1_Salmonella	MR_POS_2_Salmonella	MR_POS_3_Salmonella	MV_POS_1_Salmonella	MV_POS_2_Salmonella	MV_POS_3_Salmonella	NH_POS_1_Control	NH_POS_2_Control	NH_POS_3_Control	NI_POS_1_Control	NI_POS_2_Control	NI_POS_3_Control	NJ_POS_1_Control	NJ_POS_2_Control	NJ_POS_3_Control	NK_POS_1_Control	NK_POS_2_Control	NK_POS_3_Control	NL_POS_1_Control	NL_POS_2_Control	NL_POS_3_Control	NM_POS_1_Control	NM_POS_2_Control	NM_POS_3_Control	NN_POS_1_Control	NN_POS_2_Control	NN_POS_3_Control	PRE_QC1_POS_1_QC	PRE_QC2_POS_1_QC	QC1_POS_1_QC	QC1_POS_2_QC	QC1_POS_3_QC	QC2_POS_1_QC	QC2_POS_2_QC	QC2_POS_3_QC
13.05_589.3031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633014.1446	420279.6837	442175.667	248774.6024	227985.3839	224977.744	150666.9857	118719.3622	109533.2647	243133.7955	193283.9515	158591.705	633511.8713	409235.8419	441912.2619	257494.0454	231765.3651	209831.7494	569324.421	406729.5034	397036.5347	211152.7281	221248.2974	171111.9989	206101.6982	256673.4916	224914.2694	230657.8534	253404.3352	40255.20191	242622.6274	198238.227
4.35_225.0879	148177.9566	144766.3691	147204.9599	146153.1842	146255.1842	177176.4393	53012.92435	54806.47093	51997.53585	70462.18687	59169.98638	66604.52972	77116.02622	63979.43721	67566.989	153808.142	231106.5274	102334.0422	343.9788284	5185.813891	3966.85895	1322.77027	0	789.1391566	0	0	2754.990841	7034.868851	0	5723.133989	15233.24034	14652.70819	12667.38237	13167.96233	6226.126955	5004.510513	114828.7908	89044.64671	91664.00971	16478.85871	26521.65322	29993.32975	52587.44626	66035.28592	49445.24301	47982.567	49382.12604	0	56783.25595	48199.97363
9.28_917.4370	44417.82619	40393.17975	44251.85846	0	0	0	108138.3137	41460.11716	67467.77006	111430.9015	83845.30281	110834.9709	30922.66356	30198.77452	17200.16898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.24_527.0495	20906.34768	18756.05621	0	15181.00529	15153.00529	20295.45243	14971.34061	7144.991479	17793.3733	11475.86488	8860.671849	8348.134017	47832.60435	33901.29361	37215.99593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.37_622.1564	15327.4384	29303.42756	17751.64105	14509.58163	14425.58163	26407.37369	0	6657.795007	0	18959.60351	0	26297.14054	20854.84601	15513.86077	11837.2892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.77_439.0816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24485.76956	28692.38358	10141.95776	8452.984788	7370.098504	8383.507887	46628.79557	0	38503.7438	0	0	0	12889.90413	20890.08388	23738.59471	14399.28611	10234.5029	8723.771291	0	0	0	0	0	0	0	0	0	0	0
9.03_537.1964	20099.58141	5527.216775	16286.17681	8154.401884	8336.401884	2601.429056	15864.62276	10691.52949	15333.56751	0	4209.149012	0	22779.99889	29482.7001	26687.54955	0	4287.790215	3943.290407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.84_539.1380	273021.4239	261586.7097	263412.4585	497236.8821	497415.8821	445489.4062	180943.5816	179041.5561	160151.9139	858871.9747	735464.9573	737641.2655	59120.00701	43802.23613	56356.33109	31849.58248	0	16525.91923	31721.34582	38701.81509	39554.96111	0	0	0	0	8021.329953	0	0	0	0	12403.75455	19202.18248	7042.252514	0	0	11135.99848	0	0	0	27256.61421	13766.86971	23864.83966	287802.4516	228454.1155	207135.2691	235131.5498	218135.0464	0	228560.2833	227405.2933
13.05_591.3183	4112.044347	2528.129649	3265.121919	2811.452772	2992.452772	2492.125452	5328.132679	1975.310324	5372.208874	2847.465183	3448.440849	5993.513499	752.1914156	3239.76697	5864.565083	2649.424915	3106.323164	7660.056417	607216.3184	317097.3818	376221.2724	559668.7281	461932.645	435231.4341	427624.2588	391708.9233	427405.5787	597154.6651	509447.0573	448874.6878	54715.1007	36654.71477	32973.13568	133691.7688	109715.0967	111819.8154	76505.46036	56102.11569	57230.03514	325685.3958	279606.6364	264459.1054	208564.0332	295573.8031	232536.3483	241129.58	233295.5904	0	259093.7339	207822.1657
11.38_385.1861	34805.50545	33981.10044	38172.74302	4125.275385	4232.275385	0	26301.63833	30345.68927	29064.23875	5125.244016	8940.977051	13015.23111	45002.1668	49399.07884	45337.64337	6401.707315	9687.60035	14381.6286	6016.725784	2041.031222	5642.507872	3566.609412	4400.744668	4769.758621	1760.898425	0	1389.348168	1851.279044	0	5076.920358	2499.212632	5257.802704	0	8848.842162	6607.249554	6114.667939	0	3181.199179	9559.123386	1418.988847	7878.33408	5612.855179	14428.9865	13461.40527	12239.71594	16649.22696	14798.5215	169695.7541	11127.1184	10021.44191
